t (días),t (horas),Masa (g),Masa (%),Pérdida acum (mg),v_corr_acum (mg/h),v_corr_int (mg/h),pH
0.0,0.0,7.77,100.0,0.0,0.0,0.0,4.1
0.938,22.512,7.7332,99.5264,36.8,1.6347,1.6347,4.67
1.948,46.751999999999995,7.6889,98.9562,81.1,1.7347,1.8276,5.22
2.948,70.752,7.6482,98.4324,121.8,1.7215,1.6958,5.63
5.865,140.76,7.6098,97.9382,160.2,1.1381,0.5485,6.58
6.075,145.8,7.6077,97.9112,162.3,1.1132,0.4167,6.86
